#OTU ID,OMA1,OMA11,OMA12,OMA13,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA26,OMA27,OMA28,OMA3,OMA4,OMA47,OMA48,WGA10,WGA12,WGA13,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,,,,,,,,
Otu61,306,181,91,5,16,10,41,278,65,30,15,25,12,111,74,147,710,215,38,1,14,0,0,82,0,0,0,1,282,0,4,0,0,0,0,8,1,0,37,0,19,9,23,51,0,126,91,0,0,0,,,,,,,,
Otu49,231,22,25,22,31,29,21,174,78,58,145,56,29,103,118,176,80,40,158,24,19,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,788,0,0,0,0,0,0,110,0,0,0,0,0,0,,,,,,,,
Otu53,3,0,17,1,16,0,3,2,11,1,5,22,9,26,2,5,0,1,0,0,2,0,0,26,0,0,0,0,0,0,2788,0,0,0,0,0,28,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,,,,,
Otu52,217,176,114,15,17,18,31,276,28,6,5,17,16,41,128,198,87,34,81,0,21,0,0,49,0,0,0,0,0,0,355,0,0,0,0,0,9,16,1,786,0,0,0,120,0,3,0,0,0,0,,,,,,,,
Otu57,25,62,78,9,182,43,142,9,29,110,35,16,10,109,3,7,11,14,0,0,0,0,10,0,108,0,0,17,9,0,1102,0,0,0,0,0,10,0,0,235,0,1,230,60,0,159,0,0,0,0,,,,,,,,
Otu44,81,111,89,13,488,94,254,26,163,127,110,119,9,467,23,38,51,34,49,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,12,0,0,0,0,0,0,374,0,0,0,0,0,2,,,,,,,,
Otu139,76,18,10,1,0,4,0,58,0,2,4,3,1,4,34,27,1,2,0,0,0,0,0,0,0,0,739,0,1743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu62,346,49,16,11,9,1,12,152,13,19,8,41,24,73,90,134,743,232,0,0,0,0,0,0,0,0,0,0,12,25,0,0,0,0,0,0,1,0,0,0,111,256,0,21,0,0,0,0,0,0,,,,,,,,
Otu72,217,36,22,8,8,7,9,89,39,12,14,9,3,29,90,95,620,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,603,0,0,0,0,0,149,0,0,0,,,,,,,,
Otu1126,7,10,4,4,177,89,126,3,217,113,17,64,18,56,6,16,1,0,331,18,0,0,0,525,0,0,0,0,0,12,20,0,0,0,0,0,58,0,0,0,0,0,0,66,0,0,0,0,0,0,,,,,,,,
Otu66,230,62,25,10,10,9,18,114,60,23,28,18,9,45,44,42,702,222,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,74,30,0,127,0,0,0,0,0,0,7,0,0,4,0,0,0,,,,,,,,
Otu84,5,1,0,0,5,5,11,260,88,31,70,27,0,50,199,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,,,,,,,,
