,Treat,Diatom,Temp,Bact,FSC,SSC,RED,GREEN,strain,strain_2
10295,NbO-A5-AX,NbO-A5,18,Axenic,3.556329,3.703213,3.82938,4.070993,NbO-A5,A1
10296,NbO-A5-AX,NbO-A5,18,Axenic,3.285644,3.462704,3.525474,3.725777,NbO-A5,A1
10297,NbO-A5-AX,NbO-A5,18,Axenic,3.309117,3.357091,3.555813,3.405698,NbO-A5,A1
10298,NbO-A5-AX,NbO-A5,18,Axenic,3.339864,3.391385,3.633771,3.441084,NbO-A5,A1
10299,NbO-A5-AX,NbO-A5,18,Axenic,3.360064,3.509409,3.673278,3.726053,NbO-A5,A1
10300,NbO-A5-AX,NbO-A5,18,Axenic,3.374371,3.803551,3.758531,3.808993,NbO-A5,A1
10301,NbO-A5-AX,NbO-A5,18,Axenic,3.373911,3.4632,3.635676,3.668354,NbO-A5,A1
10302,NbO-A5-AX,NbO-A5,18,Axenic,3.287311,3.410363,3.564581,3.693919,NbO-A5,A1
10303,NbO-A5-AX,NbO-A5,18,Axenic,3.334902,3.445712,3.591527,3.900017,NbO-A5,A1
10304,NbO-A5-AX,NbO-A5,18,Axenic,3.251206,3.487946,3.573406,3.671404,NbO-A5,A1
10305,NbO-A5-AX,NbO-A5,18,Axenic,3.089211,3.507101,3.475995,3.743517,NbO-A5,A1
10306,NbO-A5-AX,NbO-A5,18,Axenic,3.281081,3.365742,3.475477,3.559906,NbO-A5,A1
10307,NbO-A5-AX,NbO-A5,18,Axenic,3.42963,3.400449,3.578431,3.550603,NbO-A5,A1
10308,NbO-A5-AX,NbO-A5,18,Axenic,3.161649,3.905181,3.573038,3.670293,NbO-A5,A1
10309,NbO-A5-AX,NbO-A5,18,Axenic,3.351456,3.476565,3.525481,3.540447,NbO-A5,A1
10310,NbO-A5-AX,NbO-A5,18,Axenic,3.347135,3.598619,3.569534,3.706595,NbO-A5,A1
10311,NbO-A5-AX,NbO-A5,18,Axenic,3.388835,3.306298,3.445598,3.830154,NbO-A5,A1
10312,NbO-A5-AX,NbO-A5,18,Axenic,3.342759,3.428018,3.524317,3.606075,NbO-A5,A1
10313,NbO-A5-AX,NbO-A5,18,Axenic,3.264704,3.814731,3.631572,3.613042,NbO-A5,A1
10314,NbO-A5-AX,NbO-A5,18,Axenic,3.379099,3.481285,3.715776,3.904777,NbO-A5,A1
10315,NbO-A5-AX,NbO-A5,18,Axenic,3.355631,3.518845,3.610295,3.728149,NbO-A5,A1
10316,NbO-A5-AX,NbO-A5,18,Axenic,3.177413,3.405515,3.522588,3.795054,NbO-A5,A1
10317,NbO-A5-AX,NbO-A5,18,Axenic,3.386512,3.678066,3.675192,3.735602,NbO-A5,A1
10318,NbO-A5-AX,NbO-A5,18,Axenic,3.420233,3.453301,3.628283,3.606447,NbO-A5,A1
10319,NbO-A5-AX,NbO-A5,18,Axenic,3.331252,3.361794,3.409686,3.949094,NbO-A5,A1
10320,NbO-A5-AX,NbO-A5,18,Axenic,2.896205,2.813399,3.287008,2.980723,NbO-A5,A1
10321,NbO-A5-AX,NbO-A5,18,Axenic,3.370246,3.953057,3.112338,4.224105,NbO-A5,A1
10322,NbO-A5-AX,NbO-A5,18,Axenic,3.242693,3.392929,3.588878,3.616263,NbO-A5,A1
10323,NbO-A5-AX,NbO-A5,18,Axenic,3.362164,3.997911,3.715266,3.867534,NbO-A5,A1
10324,NbO-A5-AX,NbO-A5,18,Axenic,3.321892,3.395221,3.433314,3.963661,NbO-A5,A1
10325,NbO-A5-AX,NbO-A5,18,Axenic,3.349935,3.549155,3.803886,3.7429,NbO-A5,A1
10326,NbO-A5-AX,NbO-A5,18,Axenic,3.391566,3.394533,3.550085,3.783862,NbO-A5,A1
