#OTU ID	info	Treatment	Treatment2	Treatment3	Pop	Pop2	Pop3	extract	temp	col	col2	pch	culture	clonal	clonal2	definition	keep_2026	diatom_control	exp	temp_shift	used_inisolate	TR_Con	TR_Growth	Fm	FmDEC	FmD	Treatment_Multi	order
OMA46	RD4-C_22	RD4_22	RD4		CG1	CG1	PopA	Filter	22	blue	blue	21	Single	monoclonal	monoclonal	assemblage	no	diatom		y		36622.00814	1.428627552				RD4_22_Filter	42
OMA47	Bact-A_T0	Bact_T0	Bact_T0	Bact_T0	COMM_T0	COMM_T0	COMM_T0	Filter_1	NA	black	black	25	NA	NA	NA	inoculum	yes	control									Bact_T0_Filter_1	93
OMA48	COMM_T0	COMM	Bact_T0	Bact_T0	COMM_T0	COMM_T0	COMM_T0	Filter_1	NA	black	black	25	NA	NA	NA	inoculum	yes	control									COMM_Filter_1	94
WGA3	WGA_RA5-A	RA5	RA5	RA5_WGA	March	CG1	PopA	WGA	18	steelblue4	steelblue4	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RA5_WGA	25
WGA4	WGA_RA4-A	RA5	RA5	RA5_WGA	March	CG1	PopA	WGA	18	steelblue4	steelblue4	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RA5_WGA	26
WGA5	WGA_RA5-A	RA5	RA5	RA5_WGA	March	CG1	PopA	WGA	18	steelblue4	steelblue4	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RA5_WGA	27
WGA7	WGA_RA5-A_Blank	RA5_Blank	RA5_Blank	RA5_Blank	March	Bact_CG1	Bact_PopA	WGA	18	steelblue4	steelblue4	24	Single	monoclonal	control	bacterioplankton	yes	control			y						RA5_Blank_WGA	76
WGA10	WGA_RA5-B	RA5	RA5	RA5_WGA	March	CG1	PopA	WGA	18	steelblue4	steelblue4	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RA5_WGA	28
WGA12	WGA_RA5-B	RA5	RA5	RA5_WGA	March	CG1	PopA	WGA	18	steelblue4	steelblue4	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RA5_WGA	29
WGA13	WGA_RA5-B	RA5	RA5	RA5_WGA	March	CG1	PopA	WGA	18	steelblue4	steelblue4	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RA5_WGA	30
